Geneid	SRR9257060
AT1G70660	81
AT1G51480	8
AT1G59359	0
AT1G26921	0
AT1G75870	0
AT1G75335	117
AT1G22830	120
AT1G09630	842
AT1G17280	640
AT1G02750	296
AT1G61070	0
AT1G15385	11
AT1G12855	4
AT1G03520	189
AT1G67880	206
AT1G36580	1
AT1G74190	0
AT1G14590	258
AT1G80625	1
AT1G08300	115
AT1G07020	155
AT1G59760	1254
AT1G72570	0
AT1G01360	268
AT1G70400	0
AT1G52690	17
AT1G78750	9
AT1G15720	0
AT1G14850	1532
AT1G70470	76
AT1G11820	1147
AT1G80700	420
AT1G60783	1
AT1G25230	473
AT1G43900	899
AT1G67840	1211
AT1G64660	270
AT1G07690	0
AT1G47920	0
AT1G23680	0
AT1G18450	1444
AT1G17960	33
AT1G55930	521
AT1G61400	116
AT1G03080	2125
AT1G56660	973
AT1G24130	19
AT1G54960	188
AT1G48350	11410
AT1G80330	0
AT1G14440	732
AT1G65620	97
AT1G11620	0
AT1G69490	17
AT1G78990	195
AT1G29100	0
AT1G52315	35
AT1G70100	665
AT1G61480	32
AT1G35220	957
AT1G27510	1592
AT1G65780	0
AT1G69010	515
AT1G30870	795
AT1G56710	28
AT1G05800	0
AT1G63350	94
AT1G34827	0
AT1G03055	42
AT1G01160	502
AT1G47340	154
AT1G11170	198
AT1G62045	192
AT1G35467	0
AT1G69970	49
AT1G43145	0
AT1G20132	0
AT1G70210	540
AT1G49880	116
AT1G27060	123
AT1G30757	0
AT1G30690	3288
AT1G43760	0
AT1G35680	9107
AT1G61550	21
AT1G36745	0
AT1G58120	2
AT1G69090	0
AT1G27870	0
AT1G63710	48
AT1G03103	0
AT1G31970	3358
AT1G04960	505
AT1G68440	579
AT1G05085	0
AT1G10740	557
AT1G19040	0
AT1G32960	2
AT1G10290	3064
AT1G34020	546
AT1G20575	580
AT1G56085	1
AT1G49190	0
AT1G01730	470
AT1G26500	43
AT1G75125	59
AT1G13800	94
AT1G28380	822
AT1G10150	0
AT1G02180	167
AT1G01180	190
AT1G04625	0
