Geneid	SRR9257063
AT1G34245	109
AT1G57565	0
AT1G77420	289
AT1G27310	1991
AT1G35255	13
AT1G24020	10336
AT1G72960	10
AT1G28210	384
AT1G14840	538
AT1G35620	677
AT1G72210	75
AT1G14685	807
AT1G66070	933
AT1G02070	2
AT1G70300	606
AT1G78922	2
AT1G33470	1819
AT1G55947	0
AT1G55540	890
AT1G78890	269
AT1G59940	11
AT1G01910	983
AT1G01570	78
AT1G08730	40
AT1G68185	225
AT1G16080	3592
AT1G04940	96
AT1G02340	64
AT1G62880	163
AT1G67930	696
AT1G51170	524
AT1G71970	233
AT1G05385	824
AT1G47845	1
AT1G67560	428
AT1G26320	2
AT1G01680	12
AT1G67025	6
AT1G64160	0
AT1G51780	2
AT1G65660	2708
AT1G51600	348
AT1G71500	3160
AT1G70780	1911
AT1G66160	185
AT1G73120	50
AT1G48090	1486
AT1G70760	4
AT1G47765	0
AT1G48820	1
AT1G18300	142
AT1G73680	1469
AT1G35040	0
AT1G02810	817
AT1G54460	506
AT1G21990	0
AT1G06180	169
AT1G75660	2090
AT1G48620	1085
AT1G74250	1449
AT1G07740	178
AT1G77140	366
AT1G73170	1677
AT1G67500	354
AT1G26350	0
AT1G32510	7
AT1G22890	30
AT1G23830	0
AT1G76510	446
AT1G08010	467
AT1G05840	541
AT1G55200	209
AT1G17070	436
AT1G78090	111
AT1G70810	757
AT1G64750	1414
AT1G46984	0
AT1G11460	3
AT1G78440	10
AT1G79570	1241
AT1G09157	12
AT1G03720	3
AT1G01690	233
AT1G76230	4
AT1G63240	487
AT1G70960	1
AT1G34300	428
AT1G09680	162
AT1G42680	0
AT1G29180	6
AT1G03730	304
AT1G18160	1593
AT1G53490	109
AT1G77100	0
AT1G67130	0
AT1G26260	49
AT1G64255	0
AT1G08290	271
AT1G12320	57
AT1G18990	10
AT1G11220	64
AT1G55207	0
AT1G74660	53
AT1G63460	742
AT1G55325	1566
AT1G77660	83
AT1G30130	634
AT1G80390	6
AT1G31300	592
AT1G73750	574
AT1G55990	76
AT1G60570	3
AT1G68907	0
AT1G66030	2
AT1G27170	239
AT1G04700	98
AT1G67050	289
AT1G76220	20
AT1G56400	0
AT1G78040	5876
AT1G49170	207
AT1G31540	974
AT1G29420	2
AT1G64840	347
AT1G62030	122
AT1G60095	22
AT1G21230	0
AT1G21660	814
AT1G65320	420
AT1G50570	706
AT1G33850	4
AT1G47870	485
AT1G47680	0
AT1G48850	1711
AT1G70440	85
AT1G65150	566
AT1G72800	103
AT1G09000	205
AT1G36160	4376
AT1G02145	466
AT1G23510	6
AT1G51690	1480
AT1G50650	11
AT1G47578	40
AT1G56105	0
AT1G06490	403
AT1G63640	781
AT1G19970	89
AT1G50110	183
AT1G21540	46
AT1G13590	91
AT1G22610	0
AT1G75110	53
AT1G73110	870
AT1G36756	0
AT1G20370	889
AT1G55510	440
AT1G77170	232
AT1G70660	178
AT1G51480	7
